127.0.0.1 - - [24/Apr/2023:14:38:30 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [24/Apr/2023:14:38:31 +0530] "GET /project_3/ HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [24/Apr/2023:14:38:31 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [24/Apr/2023:14:41:20 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3823
0:0:0:0:0:0:0:1 - - [24/Apr/2023:14:41:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [24/Apr/2023:14:59:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [24/Apr/2023:15:03:40 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3792
0:0:0:0:0:0:0:1 - - [24/Apr/2023:15:03:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [24/Apr/2023:15:07:32 +0530] "GET /project_3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2023:15:07:32 +0530] "GET /project_3/ HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [24/Apr/2023:15:07:37 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3824
0:0:0:0:0:0:0:1 - - [24/Apr/2023:15:07:37 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3824
0:0:0:0:0:0:0:1 - - [24/Apr/2023:15:07:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [24/Apr/2023:15:07:44 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7205
0:0:0:0:0:0:0:1 - - [24/Apr/2023:15:07:45 +0530] "GET /project_3/img/12912.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2023:15:13:32 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2023:15:13:33 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11928
0:0:0:0:0:0:0:1 - - [24/Apr/2023:15:13:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [24/Apr/2023:15:13:33 +0530] "GET /project_3/img/registration2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Apr/2023:15:13:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [24/Apr/2023:15:15:53 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2023:15:15:54 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11928
0:0:0:0:0:0:0:1 - - [24/Apr/2023:15:15:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [24/Apr/2023:15:15:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [24/Apr/2023:15:16:34 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2023:15:16:34 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11928
0:0:0:0:0:0:0:1 - - [24/Apr/2023:15:16:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [24/Apr/2023:15:16:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [24/Apr/2023:15:27:08 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7205
0:0:0:0:0:0:0:1 - - [24/Apr/2023:16:30:57 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7242
0:0:0:0:0:0:0:1 - - [24/Apr/2023:16:31:01 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7242
0:0:0:0:0:0:0:1 - - [24/Apr/2023:16:31:09 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
